QueryType,Database,ExecutionTimeMS,Timestamp
ColdVsWarm_SelectAll,Postgres,995.526,2026-04-07T20:02:14.680Z
ColdVsWarm_SelectAll,MongoDB,4085.794,2026-04-07T20:02:20.934Z
ColdVsWarm_SelectAll,MongoDB,3702.743,2026-04-07T20:02:20.551Z
ColdVsWarm_SelectAll,MongoDB,3176.983,2026-04-07T20:02:20.026Z
ColdVsWarm_SelectAll,MongoDB,2228.553,2026-04-07T20:02:19.078Z
ColdVsWarm_SelectAll,MongoDB,2084.128,2026-04-07T20:02:18.933Z
ColdVsWarm_SelectAll,Postgres,2844.864,2026-04-07T20:02:23.779Z
ColdVsWarm_SelectAll,Postgres,2640.044,2026-04-07T20:02:23.574Z
ColdVsWarm_SelectAll,Postgres,2571.656,2026-04-07T20:02:23.506Z
ColdVsWarm_SelectAll,Postgres,2096.483,2026-04-07T20:02:23.031Z
ColdVsWarm_SelectAll,Postgres,1126.093,2026-04-07T20:02:22.060Z
ColdVsWarm_SelectAll,MongoDB,4264.987,2026-04-07T20:02:28.045Z
ColdVsWarm_SelectAll,MongoDB,3186.726,2026-04-07T20:02:26.967Z
ColdVsWarm_SelectAll,MongoDB,3585.248,2026-04-07T20:02:27.366Z
ColdVsWarm_SelectAll,MongoDB,2085.681,2026-04-07T20:02:25.866Z
ColdVsWarm_SelectAll,MongoDB,2260.697,2026-04-07T20:02:26.041Z
ColdVsWarm_SelectAll,Postgres,3102.068,2026-04-07T20:02:31.147Z
ColdVsWarm_SelectAll,Postgres,2840.986,2026-04-07T20:02:30.886Z
ColdVsWarm_SelectAll,Postgres,2925.392,2026-04-07T20:02:30.970Z
ColdVsWarm_SelectAll,Postgres,1730.173,2026-04-07T20:02:29.775Z
ColdVsWarm_SelectAll,Postgres,1336.247,2026-04-07T20:02:29.381Z
ColdVsWarm_SelectAll,MongoDB,4414.971,2026-04-07T20:02:35.563Z
ColdVsWarm_SelectAll,MongoDB,3682.586,2026-04-07T20:02:34.832Z
ColdVsWarm_SelectAll,MongoDB,2700.813,2026-04-07T20:02:33.851Z
ColdVsWarm_SelectAll,MongoDB,2604.917,2026-04-07T20:02:33.755Z
ColdVsWarm_SelectAll,MongoDB,1868.017,2026-04-07T20:02:33.018Z
ColdVsWarm_FirstRunAvg,Postgres,1699.480,2026-04-07T20:02:35.564Z
ColdVsWarm_WarmAvg_2toN,Postgres,2310.018,2026-04-07T20:02:35.564Z
ColdVsWarm_FirstRunAvg,MongoDB,2978.613,2026-04-07T20:02:35.564Z
ColdVsWarm_WarmAvg_2toN,MongoDB,2917.804,2026-04-07T20:02:35.564Z
ComplexFiltering_TotalProfit_Region,Postgres,100.975,2026-04-07T20:02:35.667Z
ComplexFiltering_TotalProfit_Region,Postgres,103.730,2026-04-07T20:02:35.669Z
ComplexFiltering_TotalProfit_Region,Postgres,100.822,2026-04-07T20:02:35.667Z
ComplexFiltering_TotalProfit_Region,Postgres,90.272,2026-04-07T20:02:35.656Z
ComplexFiltering_TotalProfit_Region,Postgres,113.278,2026-04-07T20:02:35.679Z
ComplexFiltering_TotalProfit_Region,MongoDB,168.011,2026-04-07T20:02:35.847Z
ComplexFiltering_TotalProfit_Region,MongoDB,189.901,2026-04-07T20:02:35.869Z
ComplexFiltering_TotalProfit_Region,MongoDB,167.761,2026-04-07T20:02:35.847Z
ComplexFiltering_TotalProfit_Region,MongoDB,198.147,2026-04-07T20:02:35.878Z
ComplexFiltering_TotalProfit_Region,MongoDB,185.390,2026-04-07T20:02:35.865Z
Aggregation_SumRevenue_GroupByCategory,Postgres,329.171,2026-04-07T20:02:36.207Z
Aggregation_SumRevenue_GroupByCategory,Postgres,289.860,2026-04-07T20:02:36.168Z
Aggregation_SumRevenue_GroupByCategory,Postgres,304.440,2026-04-07T20:02:36.183Z
Aggregation_SumRevenue_GroupByCategory,Postgres,296.111,2026-04-07T20:02:36.174Z
Aggregation_SumRevenue_GroupByCategory,Postgres,266.208,2026-04-07T20:02:36.144Z
Aggregation_SumRevenue_GroupByCategory,MongoDB,246.139,2026-04-07T20:02:36.454Z
Aggregation_SumRevenue_GroupByCategory,MongoDB,255.303,2026-04-07T20:02:36.465Z
Aggregation_SumRevenue_GroupByCategory,MongoDB,259.495,2026-04-07T20:02:36.469Z
Aggregation_SumRevenue_GroupByCategory,MongoDB,227.204,2026-04-07T20:02:36.437Z
Aggregation_SumRevenue_GroupByCategory,MongoDB,251.963,2026-04-07T20:02:36.462Z
